<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,60,20191016,170000,233.3700000,235.2200000,233.2050000,234.5600000,158503
US2.AAPL,60,20191016,180000,234.5000000,234.6600000,233.6600000,234.4500000,167947
US2.AAPL,60,20191016,190000,234.4000000,234.7300000,233.7700000,234.3600000,106099
US2.AAPL,60,20191016,200000,234.4000000,234.4800000,233.6000000,233.7300000,67644
US2.AAPL,60,20191016,210000,233.7800000,234.0500000,233.6300000,233.7000000,66407
US2.AAPL,60,20191016,220000,233.7000000,234.1400000,233.6800000,233.9900000,63202
US2.AAPL,60,20191016,230000,234.0200000,234.4500000,233.7400000,234.4000000,143677
US2.AAPL,60,20191017,170000,235.4600000,236.1200000,234.7300000,235.8600000,87114
US2.AAPL,60,20191017,180000,235.8200000,236.0400000,234.2300000,234.4600000,136926
US2.AAPL,60,20191017,190000,234.4800000,234.6100000,233.6200000,233.8900000,145591
US2.AAPL,60,20191017,200000,233.9300000,234.4100000,233.5300000,234.3800000,63154
US2.AAPL,60,20191017,210000,234.3900000,235.2400000,234.2400000,234.8800000,69544
US2.AAPL,60,20191017,220000,234.9200000,235.1400000,234.3900000,235.1000000,76983
US2.AAPL,60,20191017,230000,235.1700000,235.4900000,234.8500000,235.3100000,142992
US2.AAPL,60,20191018,170000,234.6000000,236.0000000,234.5000000,235.9700000,111642
US2.AAPL,60,20191018,180000,235.8900000,236.2500000,234.9700000,235.5000000,145164
US2.AAPL,60,20191018,190000,235.5500000,236.1700000,234.9400000,235.1500000,136654
US2.AAPL,60,20191018,200000,235.1100000,235.4800000,234.2900000,235.2400000,172414
US2.AAPL,60,20191018,210000,235.2500000,236.5500000,235.2000000,236.1600000,138872
US2.AAPL,60,20191018,220000,236.1400000,236.7300000,235.9400000,236.7100000,107099
US2.AAPL,60,20191018,230000,236.7700000,237.5800000,236.5300000,236.5850000,301553
US2.AAPL,60,20191021,170000,237.6100000,239.9900000,237.5200000,239.7000000,208228
US2.AAPL,60,20191021,180000,239.7300000,240.0000000,239.1100000,239.9200000,190665
US2.AAPL,60,20191021,190000,239.9300000,240.8800000,239.8500000,240.7300000,257741
US2.AAPL,60,20191021,200000,240.7100000,240.9800000,240.5300000,240.5900000,103191
US2.AAPL,60,20191021,210000,240.6100000,240.9400000,240.4500000,240.8000000,83409
US2.AAPL,60,20191021,220000,240.8100000,240.9300000,240.5300000,240.6900000,70244
US2.AAPL,60,20191021,230000,240.6700000,240.7400000,240.0600000,240.4800000,193597
US2.AAPL,60,20191022,170000,241.1600000,241.9200000,240.3000000,240.9700000,174916
US2.AAPL,60,20191022,180000,241.0600000,241.8400000,240.7100000,241.5500000,163806
US2.AAPL,60,20191022,190000,241.5500000,241.7500000,240.9400000,241.1900000,131890
US2.AAPL,60,20191022,200000,241.1950000,241.9400000,241.0700000,241.9350000,109199
US2.AAPL,60,20191022,210000,241.9200000,241.9700000,241.3600000,241.9500000,130597
US2.AAPL,60,20191022,220000,241.9300000,242.2000000,240.3600000,240.7400000,275649
US2.AAPL,60,20191022,230000,240.7700000,240.9900000,239.6300000,240.1600000,333226
US2.AAPL,60,20191023,170000,242.0650000,243.1300000,241.3750000,241.8600000,262101
US2.AAPL,60,20191023,180000,241.8800000,242.8200000,241.2300000,242.6400000,209868
US2.AAPL,60,20191023,190000,242.6100000,242.9200000,242.3700000,242.4900000,152112
US2.AAPL,60,20191023,200000,242.4750000,242.7400000,242.0000000,242.6700000,86375
US2.AAPL,60,20191023,210000,242.6800000,242.7100000,242.1100000,242.6300000,66833
US2.AAPL,60,20191023,220000,242.5800000,242.6300000,241.8200000,242.4700000,114989
US2.AAPL,60,20191023,230000,242.4350000,243.2400000,242.2800000,243.1800000,238664
US2.AAPL,60,20191024,170000,244.4400000,244.7800000,242.2000000,242.6300000,231969
US2.AAPL,60,20191024,180000,242.6300000,242.9800000,241.8100000,242.4500000,260839
US2.AAPL,60,20191024,190000,242.4600000,243.4600000,242.3400000,243.2600000,207696
US2.AAPL,60,20191024,200000,243.3000000,243.3700000,242.2000000,243.0300000,135197
US2.AAPL,60,20191024,210000,243.0100000,243.0700000,242.3400000,242.4400000,96110
US2.AAPL,60,20191024,220000,242.4500000,243.2200000,242.3700000,242.9900000,104950
US2.AAPL,60,20191024,230000,243.0300000,243.6600000,242.9700000,243.3200000,196840
US2.AAPL,60,20191025,170000,243.0300000,244.0600000,242.9300000,243.4800000,130702
US2.AAPL,60,20191025,180000,243.4500000,244.6850000,243.2500000,244.5700000,248164
US2.AAPL,60,20191025,190000,244.5300000,245.8500000,244.3600000,245.3700000,314806
US2.AAPL,60,20191025,200000,245.3900000,245.6700000,245.0900000,245.2100000,145997
US2.AAPL,60,20191025,210000,245.2800000,245.5400000,245.1200000,245.2600000,94276
US2.AAPL,60,20191025,220000,245.2500000,245.4700000,244.7000000,245.4000000,132569
US2.AAPL,60,20191025,230000,245.3900000,246.7200000,245.3600000,246.6600000,333000
US2.AAPL,60,20191028,170000,247.4100000,248.3500000,246.7400000,248.0100000,207105
US2.AAPL,60,20191028,180000,248.0200000,248.6400000,247.7500000,248.0800000,221511
US2.AAPL,60,20191028,190000,248.0600000,248.7300000,247.9900000,248.5500000,165058
US2.AAPL,60,20191028,200000,248.5800000,248.7100000,248.2400000,248.4900000,108225
US2.AAPL,60,20191028,210000,248.5000000,248.6700000,248.3600000,248.4000000,93762
US2.AAPL,60,20191028,220000,248.4200000,248.5800000,248.3000000,248.4900000,88698
US2.AAPL,60,20191028,230000,248.5000000,249.1900000,248.5000000,249.1200000,258062
US2.AAPL,60,20191029,170000,249.0500000,249.7200000,247.8800000,247.8900000,200594
US2.AAPL,60,20191029,180000,247.9100000,248.0200000,245.4100000,245.5000000,367222
US2.AAPL,60,20191029,190000,245.5300000,245.7900000,242.8500000,242.9000000,553748
US2.AAPL,60,20191029,200000,243.3100000,244.7000000,243.2000000,243.5900000,204519
US2.AAPL,60,20191029,210000,243.6100000,243.9700000,242.9500000,243.6700000,209302
US2.AAPL,60,20191029,220000,243.6400000,243.8500000,242.5800000,242.6600000,219169
US2.AAPL,60,20191029,230000,242.6900000,244.3800000,242.6600000,243.3200000,355422
US2.AAPL,60,20191030,170000,244.7600000,245.2600000,242.3100000,243.5450000,248726
US2.AAPL,60,20191030,180000,243.5750000,243.9800000,242.5000000,243.0000000,166003
US2.AAPL,60,20191030,190000,242.9900000,243.2200000,241.2100000,242.0600000,217162
US2.AAPL,60,20191030,200000,242.0600000,242.9700000,241.7400000,242.2900000,163627
US2.AAPL,60,20191030,210000,242.2800000,242.4500000,241.6300000,241.6600000,141363
US2.AAPL,60,20191030,220000,241.5400000,242.8400000,241.3300000,242.6900000,150181
US2.AAPL,60,20191030,230000,242.6600000,243.7400000,242.6100000,243.3000000,305299
US2.AAPL,60,20191031,170000,247.2300000,249.1700000,246.0000000,246.9100000,363975
US2.AAPL,60,20191031,180000,246.9600000,248.3800000,245.6000000,247.3100000,474021
US2.AAPL,60,20191031,190000,247.3000000,248.9600000,246.9200000,248.2100000,302451
US2.AAPL,60,20191031,200000,248.2200000,248.4400000,246.9800000,247.6200000,210930
US2.AAPL,60,20191031,210000,247.6400000,248.1800000,247.5000000,247.8200000,119572
US2.AAPL,60,20191031,220000,247.7650000,247.8300000,246.6500000,247.7300000,189231
US2.AAPL,60,20191031,230000,247.7900000,248.9150000,247.6100000,248.9100000,351439
US2.AAPL,60,20191101,170000,249.5400000,251.9500000,249.2100000,251.7800000,481878
US2.AAPL,60,20191101,180000,251.7300000,253.7200000,251.2600000,253.3200000,721539
US2.AAPL,60,20191101,190000,253.3200000,253.7900000,253.0100000,253.2300000,341497
US2.AAPL,60,20191101,200000,253.2500000,253.3100000,252.4500000,252.5700000,286793
US2.AAPL,60,20191101,210000,252.5400000,253.8300000,252.4500000,253.6450000,239276
US2.AAPL,60,20191101,220000,253.6200000,254.3800000,253.3100000,254.3400000,253557
US2.AAPL,60,20191101,230000,254.3500000,255.8800000,254.1300000,255.8100000,700100
US2.AAPL,60,20191104,180000,257.3900000,257.7900000,255.3900000,256.4900000,414661
US2.AAPL,60,20191104,190000,256.4600000,257.4100000,256.3100000,256.9500000,310631
US2.AAPL,60,20191104,200000,256.9500000,257.1400000,256.2200000,256.2800000,206781
US2.AAPL,60,20191104,210000,256.2700000,256.4900000,255.4200000,256.3600000,186110
US2.AAPL,60,20191104,220000,256.4100000,256.9900000,256.2100000,256.8100000,85758
US2.AAPL,60,20191104,230000,256.8200000,257.3600000,256.5800000,257.3600000,113671
US2.AAPL,60,20191105,000000,257.3700000,257.8300000,256.9300000,257.5300000,277453
US2.AAPL,60,20191105,180000,257.0700000,257.6400000,256.3400000,257.2900000,214801
US2.AAPL,60,20191105,190000,257.3700000,258.1800000,256.7100000,257.5300000,321514
US2.AAPL,60,20191105,200000,257.5300000,257.7700000,257.0700000,257.5100000,171858
US2.AAPL,60,20191105,210000,257.5000000,257.9100000,257.1500000,257.5800000,131757
US2.AAPL,60,20191105,220000,257.5800000,258.0000000,257.5700000,257.8100000,126949
US2.AAPL,60,20191105,230000,257.8000000,258.1900000,257.5600000,257.9200000,132148
US2.AAPL,60,20191106,000000,257.9300000,258.0500000,256.9800000,257.1100000,192372
US2.AAPL,60,20191106,180000,256.7700000,257.4800000,256.3900000,257.1100000,213248
US2.AAPL,60,20191106,190000,257.0800000,257.2000000,256.0400000,256.1300000,207255
US2.AAPL,60,20191106,200000,256.0900000,257.0500000,255.3700000,256.1200000,255563
US2.AAPL,60,20191106,210000,256.1900000,256.4000000,255.5700000,255.8700000,185569
US2.AAPL,60,20191106,220000,255.8800000,256.5700000,255.6300000,256.4000000,109420
US2.AAPL,60,20191106,230000,256.3900000,256.7300000,256.3400000,256.6300000,114930
US2.AAPL,60,20191107,000000,256.6500000,257.2500000,256.4400000,257.2300000,215935
US2.AAPL,60,20191107,180000,258.7500000,259.1200000,258.1200000,258.4600000,282840
US2.AAPL,60,20191107,190000,258.4700000,259.5900000,258.2300000,259.4000000,360119
US2.AAPL,60,20191107,200000,259.4000000,259.9000000,259.0900000,259.8000000,216885
US2.AAPL,60,20191107,210000,259.8500000,260.0000000,259.3500000,259.9600000,176583
US2.AAPL,60,20191107,220000,259.9800000,260.3000000,259.7500000,260.1800000,198881
US2.AAPL,60,20191107,230000,260.1800000,260.3400000,259.0000000,259.8600000,267784
US2.AAPL,60,20191108,000000,259.8600000,259.9800000,258.3700000,259.4000000,309759
US2.AAPL,60,20191108,180000,258.7000000,259.3200000,257.4400000,257.5100000,191112
US2.AAPL,60,20191108,190000,257.4700000,258.5900000,256.8500000,258.5900000,241802
US2.AAPL,60,20191108,200000,258.6200000,258.7700000,257.9400000,258.5200000,114186
US2.AAPL,60,20191108,210000,258.5600000,259.1500000,258.3700000,259.1400000,95705
US2.AAPL,60,20191108,220000,259.1500000,259.6200000,258.8700000,258.8800000,136607
US2.AAPL,60,20191108,230000,258.9000000,259.3900000,258.8000000,259.2400000,87413
US2.AAPL,60,20191109,000000,259.2300000,260.0600000,259.2000000,260.0100000,288329
US2.AAPL,60,20191111,180000,258.3100000,259.5900000,258.3000000,259.3000000,195553
US2.AAPL,60,20191111,190000,259.3400000,260.5800000,259.0700000,260.0800000,245887
US2.AAPL,60,20191111,200000,260.1100000,260.7100000,260.0600000,260.5000000,152569
US2.AAPL,60,20191111,210000,260.5000000,261.5500000,260.3800000,261.5000000,184796
US2.AAPL,60,20191111,220000,261.5100000,262.4600000,261.4300000,262.2750000,194474
US2.AAPL,60,20191111,230000,262.2500000,262.2500000,261.4700000,261.6000000,111245
US2.AAPL,60,20191112,000000,261.6100000,262.2300000,261.5500000,262.1300000,179637
US2.AAPL,60,20191112,180000,261.5300000,262.2400000,261.0800000,261.4000000,227474
US2.AAPL,60,20191112,190000,261.3700000,262.2200000,260.9200000,261.4000000,301542
US2.AAPL,60,20191112,200000,261.4600000,262.6800000,261.1300000,261.8600000,197889
US2.AAPL,60,20191112,210000,261.9000000,262.4800000,261.7400000,262.1400000,106532
US2.AAPL,60,20191112,220000,262.1900000,262.7900000,262.1000000,262.7100000,105160
US2.AAPL,60,20191112,230000,262.6900000,262.7000000,261.3600000,261.6900000,209243
US2.AAPL,60,20191113,000000,261.7900000,262.1000000,261.6000000,261.9200000,211405
US2.AAPL,60,20191113,180000,261.1300000,262.7700000,261.0900000,262.5100000,205768
US2.AAPL,60,20191113,190000,262.4900000,263.6600000,262.2900000,263.6100000,294620
US2.AAPL,60,20191113,200000,263.6450000,264.1700000,263.4400000,264.1000000,228342
US2.AAPL,60,20191113,210000,264.0800000,264.1900000,263.7100000,264.0300000,125384
US2.AAPL,60,20191113,220000,264.0200000,264.6800000,263.3300000,263.9800000,218797
US2.AAPL,60,20191113,230000,263.9400000,264.1500000,262.5800000,264.0400000,280912
US2.AAPL,60,20191114,000000,264.0800000,264.7800000,264.0800000,264.5800000,302998
US2.AAPL,60,20191114,180000,263.8900000,264.8250000,263.5400000,264.3100000,295968
US2.AAPL,60,20191114,190000,264.2900000,264.8700000,262.8100000,262.8100000,382319
US2.AAPL,60,20191114,200000,262.7700000,263.7200000,262.2300000,262.9000000,280896
US2.AAPL,60,20191114,210000,262.9050000,263.3200000,262.1100000,263.1200000,187560
US2.AAPL,60,20191114,220000,263.1000000,263.4900000,262.1000000,262.8600000,152955
US2.AAPL,60,20191114,230000,262.8200000,262.9900000,262.5300000,262.9200000,88607
US2.AAPL,60,20191115,000000,262.9200000,263.1600000,262.4800000,262.8050000,259695
US2.AAPL,60,20191115,180000,263.8800000,264.5300000,263.2800000,263.4000000,288864
US2.AAPL,60,20191115,190000,263.3500000,264.2400000,263.0100000,264.1100000,284751
US2.AAPL,60,20191115,200000,264.1000000,264.7900000,264.1000000,264.2100000,222807
US2.AAPL,60,20191115,210000,264.2100000,264.8700000,264.1000000,264.4400000,145098
US2.AAPL,60,20191115,220000,264.4600000,265.0800000,264.2400000,264.8900000,127078
US2.AAPL,60,20191115,230000,264.8500000,265.2300000,264.7700000,265.0700000,162397
US2.AAPL,60,20191116,000000,265.0500000,265.6600000,264.7200000,265.5900000,310244
US2.AAPL,60,20191118,180000,266.0000000,266.0000000,264.2500000,264.6200000,230851
US2.AAPL,60,20191118,190000,264.5900000,265.6700000,264.5700000,265.2500000,177431
US2.AAPL,60,20191118,200000,265.2600000,266.0700000,265.1400000,265.9500000,137559
US2.AAPL,60,20191118,210000,265.9700000,266.4800000,265.4500000,266.3700000,87960
US2.AAPL,60,20191118,220000,266.3500000,266.9900000,266.1700000,266.8300000,143640
US2.AAPL,60,20191118,230000,266.8400000,267.4300000,266.5700000,267.1700000,133470
US2.AAPL,60,20191119,000000,267.1900000,267.2700000,266.6100000,267.0300000,220014
US2.AAPL,60,20191119,180000,267.9000000,267.9500000,266.5800000,266.8900000,171652
US2.AAPL,60,20191119,190000,266.8500000,267.6700000,265.6500000,265.6600000,269538
US2.AAPL,60,20191119,200000,265.6500000,266.8500000,265.4100000,266.4100000,153863
US2.AAPL,60,20191119,210000,266.4700000,266.5100000,265.8200000,265.8900000,91269
US2.AAPL,60,20191119,220000,265.8900000,266.5000000,265.6800000,266.3700000,65289
US2.AAPL,60,20191119,230000,266.4000000,267.1600000,266.4000000,266.8100000,112327
US2.AAPL,60,20191120,000000,266.7800000,267.0500000,265.9800000,266.2400000,164157
US2.AAPL,60,20191120,180000,265.5400000,266.0700000,264.8100000,265.2100000,174097
US2.AAPL,60,20191120,190000,265.2500000,265.5200000,264.2300000,265.0200000,200408
US2.AAPL,60,20191120,200000,265.0500000,265.2100000,263.4100000,263.5500000,219474
US2.AAPL,60,20191120,210000,263.5700000,264.2900000,260.7000000,261.7500000,226198
US2.AAPL,60,20191120,220000,261.6100000,262.3100000,260.4100000,262.0300000,234332
US2.AAPL,60,20191120,230000,262.0700000,262.8200000,261.2400000,262.2400000,182430
US2.AAPL,60,20191121,000000,262.2500000,263.0300000,261.8200000,262.8400000,264076
US2.AAPL,60,20191121,180000,263.5100000,263.9400000,262.8600000,263.4650000,189908
US2.AAPL,60,20191121,190000,263.5300000,264.0000000,262.2000000,262.4400000,245978
US2.AAPL,60,20191121,200000,262.5100000,262.7900000,261.2200000,261.2700000,178849
US2.AAPL,60,20191121,210000,261.2600000,262.4400000,261.2000000,262.1800000,130379
US2.AAPL,60,20191121,220000,262.1900000,262.4800000,261.8450000,261.9300000,95332
US2.AAPL,60,20191121,230000,261.9400000,262.5850000,261.5100000,262.3600000,108434
US2.AAPL,60,20191122,000000,262.3600000,262.5300000,261.2700000,262.0800000,242760
US2.AAPL,60,20191122,180000,262.5700000,263.1700000,261.5750000,262.5200000,170623
US2.AAPL,60,20191122,190000,262.8100000,262.8900000,261.7700000,261.9200000,198641
US2.AAPL,60,20191122,200000,261.9250000,262.4800000,260.8800000,262.3100000,189024
US2.AAPL,60,20191122,210000,262.3100000,262.4300000,261.7400000,262.1700000,105650
US2.AAPL,60,20191122,220000,262.1650000,262.4100000,261.4100000,261.7300000,111952
US2.AAPL,60,20191122,230000,261.7600000,261.7600000,261.0100000,261.2600000,104198
US2.AAPL,60,20191123,000000,261.3100000,261.9850000,260.8400000,261.9300000,213066
US2.AAPL,60,20191125,180000,262.6300000,264.8400000,262.5800000,264.5700000,216667
US2.AAPL,60,20191125,190000,264.5900000,265.6400000,264.4200000,265.3100000,226866
US2.AAPL,60,20191125,200000,265.3200000,265.4700000,264.8600000,265.0800000,95278
US2.AAPL,60,20191125,210000,265.0950000,265.2200000,264.9400000,265.1000000,65879
US2.AAPL,60,20191125,220000,265.1200000,265.2500000,264.6300000,264.7300000,83602
US2.AAPL,60,20191125,230000,264.7200000,265.2700000,264.5800000,265.2500000,92319
US2.AAPL,60,20191126,000000,265.2400000,266.3700000,265.1700000,266.3300000,244808
US2.AAPL,60,20191126,180000,266.9400000,267.0400000,265.2350000,266.0300000,186762
US2.AAPL,60,20191126,190000,266.0600000,266.4900000,265.5000000,266.4100000,256581
US2.AAPL,60,20191126,200000,266.3800000,266.5400000,265.7900000,266.4000000,124778
US2.AAPL,60,20191126,210000,266.4300000,266.6900000,266.1600000,266.6000000,88494
US2.AAPL,60,20191126,220000,266.6150000,266.7800000,266.3000000,266.4100000,95255
US2.AAPL,60,20191126,230000,266.4800000,266.6200000,266.1400000,266.4600000,92543
US2.AAPL,60,20191127,000000,266.4500000,266.7000000,264.9800000,265.0200000,338784
US2.AAPL,60,20191127,180000,265.8000000,266.2600000,265.3200000,266.1300000,161514
US2.AAPL,60,20191127,190000,266.1300000,266.3800000,265.4300000,266.2100000,221608
US2.AAPL,60,20191127,200000,266.1800000,266.6000000,266.1600000,266.4300000,113942
US2.AAPL,60,20191127,210000,266.4400000,266.7000000,266.3400000,266.3600000,121068
US2.AAPL,60,20191127,220000,266.3800000,266.9000000,266.3300000,266.7800000,110244
US2.AAPL,60,20191127,230000,266.7800000,267.1100000,266.6800000,267.0100000,144914
US2.AAPL,60,20191128,000000,267.0000000,267.9500000,266.8200000,267.9200000,259982
US2.AAPL,60,20191129,180000,266.2600000,267.5500000,265.9300000,267.4400000,146574
US2.AAPL,60,20191129,190000,267.4400000,268.0000000,267.1000000,267.7100000,134504
US2.AAPL,60,20191129,200000,267.7300000,267.9800000,267.3400000,267.7200000,155438
US2.AAPL,60,20191129,210000,267.7100000,267.8200000,267.4100000,267.6100000,200439
US2.AAPL,60,20191202,180000,267.2300000,268.1900000,266.5600000,266.5600000,215272
US2.AAPL,60,20191202,190000,266.5850000,266.5850000,263.7600000,263.7700000,370004
US2.AAPL,60,20191202,200000,263.7900000,264.8600000,263.4600000,264.7000000,206657
US2.AAPL,60,20191202,210000,264.6800000,264.9600000,263.7800000,264.6700000,150553
US2.AAPL,60,20191202,220000,264.5700000,265.6100000,264.5700000,265.3500000,106351
US2.AAPL,60,20191202,230000,265.3700000,265.7400000,265.1600000,265.4500000,106368
US2.AAPL,60,20191203,000000,265.4800000,265.5400000,264.3700000,264.7600000,232847
US2.AAPL,60,20191203,180000,258.1600000,258.4700000,256.2900000,257.7700000,393667
US2.AAPL,60,20191203,190000,257.7600000,258.4300000,256.8100000,257.0500000,350370
US2.AAPL,60,20191203,200000,257.0300000,257.9400000,256.6300000,257.5800000,190363
US2.AAPL,60,20191203,210000,257.5700000,258.2700000,257.1600000,257.9700000,138601
US2.AAPL,60,20191203,220000,258.0000000,259.3100000,257.9200000,258.5900000,210980
US2.AAPL,60,20191203,230000,258.6000000,258.9500000,257.8800000,258.4600000,113639
US2.AAPL,60,20191204,000000,258.5000000,259.5300000,258.2800000,259.4600000,205616
US2.AAPL,60,20191204,180000,261.0300000,261.8600000,260.7000000,261.5100000,178658
US2.AAPL,60,20191204,190000,261.4800000,262.1300000,261.1400000,262.1300000,175609
US2.AAPL,60,20191204,200000,262.1400000,263.3100000,262.0700000,262.8300000,173663
US2.AAPL,60,20191204,210000,262.8200000,262.9500000,262.1400000,262.8200000,119559
US2.AAPL,60,20191204,220000,262.8200000,262.8300000,262.0800000,262.2900000,74206
US2.AAPL,60,20191204,230000,262.3000000,262.9700000,262.2100000,262.8500000,116724
US2.AAPL,60,20191205,000000,262.8400000,262.8700000,261.7500000,261.8100000,177400
US2.AAPL,60,20191205,180000,263.7900000,264.7300000,263.1100000,264.3200000,204863
US2.AAPL,60,20191205,190000,264.3000000,264.3550000,262.7500000,263.6900000,225078
US2.AAPL,60,20191205,200000,263.6800000,264.4600000,263.5100000,264.3800000,144114
US2.AAPL,60,20191205,210000,264.3500000,264.3900000,263.7700000,264.3600000,86815
US2.AAPL,60,20191205,220000,264.2900000,265.2900000,264.2300000,264.9500000,150299
US2.AAPL,60,20191205,230000,264.9400000,265.5700000,264.4500000,264.9500000,144392
US2.AAPL,60,20191206,000000,265.0200000,265.8900000,264.9600000,265.5000000,221133
US2.AAPL,60,20191206,180000,267.5200000,269.1900000,267.4800000,269.1100000,395866
US2.AAPL,60,20191206,190000,269.0800000,269.6300000,268.7800000,269.3900000,317648
US2.AAPL,60,20191206,200000,269.4000000,270.4700000,269.3100000,270.2000000,285837
US2.AAPL,60,20191206,210000,270.2000000,271.0000000,270.1800000,270.8000000,246092
US2.AAPL,60,20191206,220000,270.7900000,270.8400000,269.9600000,270.0700000,179692
US2.AAPL,60,20191206,230000,270.0800000,270.6600000,269.8900000,270.3900000,144369
US2.AAPL,60,20191207,000000,270.4000000,270.8000000,269.9800000,270.5800000,398319
US2.AAPL,60,20191209,180000,270.0200000,270.7800000,269.1500000,269.5900000,212930
US2.AAPL,60,20191209,190000,269.6100000,269.8800000,269.1600000,269.6000000,172012
US2.AAPL,60,20191209,200000,269.6000000,269.6000000,265.9400000,266.2300000,412144
US2.AAPL,60,20191209,210000,266.2200000,266.5000000,264.9100000,265.6800000,467576
US2.AAPL,60,20191209,220000,265.6900000,266.7500000,265.6000000,266.5900000,118133
US2.AAPL,60,20191210,000000,266.9100000,266.9100000,266.9100000,266.9100000,100
US2.AAPL,60,20191210,180000,268.5800000,268.5800000,265.8700000,266.8400000,165802
US2.AAPL,60,20191210,190000,266.8600000,269.9300000,266.8400000,269.8500000,348460
US2.AAPL,60,20191210,200000,269.8200000,270.0700000,268.8600000,269.1200000,228770
US2.AAPL,60,20191210,210000,269.0600000,269.2100000,268.5600000,269.0600000,175920
US2.AAPL,60,20191210,220000,269.0400000,269.6900000,268.9600000,269.0500000,123408
US2.AAPL,60,20191210,230000,269.0700000,269.5600000,269.0700000,269.4000000,115633
US2.AAPL,60,20191211,000000,269.3500000,269.7400000,267.7300000,268.2900000,255261
US2.AAPL,60,20191211,180000,268.7100000,270.7400000,268.6550000,270.6400000,229903
US2.AAPL,60,20191211,190000,270.6600000,271.0700000,269.3400000,269.4600000,270595
US2.AAPL,60,20191211,200000,269.4600000,270.4100000,269.1000000,270.1700000,111902
US2.AAPL,60,20191212,000000,270.7400000,270.7400000,270.7400000,270.7400000,100
US2.AAPL,60,20191214,000000,275.2500000,275.2500000,275.2500000,275.2500000,500
US2.AAPL,60,20191216,180000,277.1400000,279.4900000,276.9900000,278.9700000,316752
US2.AAPL,60,20191216,190000,279.0000000,280.1600000,278.8900000,279.4500000,272236
US2.AAPL,60,20191216,200000,279.4800000,280.4700000,279.4800000,280.3500000,217061
US2.AAPL,60,20191216,210000,280.3700000,280.7900000,280.1500000,280.1800000,150085
US2.AAPL,60,20191216,220000,280.1850000,280.4900000,279.8400000,280.4400000,106408
US2.AAPL,60,20191216,230000,280.4400000,280.6000000,279.7900000,280.1500000,123155
US2.AAPL,60,20191217,000000,280.1400000,280.4900000,279.6000000,279.9000000,329224
